Format:  EMData_1.1 
!mode:   DET
!rotation_angle = 0.00
# Transmitters: 1
0 0 0 0 0 
# Frequencies:   30
   +1.367187e-01
   +1.093750e-01
   +8.593753e-02
   +6.640627e-02
   +5.078124e-02
   +3.906250e-02
   +3.027344e-02
   +2.343750e-02
   +1.855469e-02
   +1.464844e-02
   +1.171875e-02
   +9.765625e-03
   +7.568360e-03
   +5.859375e-03
   +4.638672e-03
   +3.662109e-03
   +2.929687e-03
   +2.441406e-03
   +1.892090e-03
   +1.464844e-03
   +1.159668e-03
   +9.155273e-04
   +7.324219e-04
   +6.103516e-04
   +4.425049e-04
   +3.204346e-04
   +2.136230e-04
   +1.373291e-04
   +8.392334e-05
   +5.340576e-05
# Receivers: 1 
0 0 0 0 0 0 
# Data:      60
!Type      Freq#      TX#      Rx#      Data      Std_Error
RhoZxy      1      0      1      +8.590032e+02      +3.436013e+01
PhsZxy      1      0      1      +4.584812e+01      +2.000000e+00
RhoZxy      2      0      1      +8.237088e+02      +3.294835e+01
PhsZxy      2      0      1      +4.811981e+01      +2.000000e+00
RhoZxy      3      0      1      +7.986407e+02      +3.194563e+01
PhsZxy      3      0      1      +5.040564e+01      +2.000000e+00
RhoZxy      4      0      1      +7.649228e+02      +3.059691e+01
PhsZxy      4      0      1      +5.324281e+01      +2.000000e+00
RhoZxy      5      0      1      +6.872679e+02      +2.749072e+01
PhsZxy      5      0      1      +5.520102e+01      +2.000000e+00
RhoZxy      6      0      1      +6.520303e+02      +2.608121e+01
PhsZxy      6      0      1      +5.546418e+01      +2.000000e+00
RhoZxy      7      0      1      +6.084106e+02      +2.433642e+01
PhsZxy      7      0      1      +5.662800e+01      +2.000000e+00
RhoZxy      8      0      1      +5.553766e+02      +2.221506e+01
PhsZxy      8      0      1      +5.723130e+01      +2.000000e+00
RhoZxy      9      0      1      +5.133316e+02      +2.053326e+01
PhsZxy      9      0      1      +5.719766e+01      +2.000000e+00
RhoZxy      10      0      1      +4.662776e+02      +1.865110e+01
PhsZxy      10      0      1      +5.705181e+01      +2.000000e+00
RhoZxy      11      0      1      +4.491875e+02      +1.796750e+01
PhsZxy      11      0      1      +5.646597e+01      +2.000000e+00
RhoZxy      12      0      1      +4.317599e+02      +1.727039e+01
PhsZxy      12      0      1      +5.594285e+01      +2.000000e+00
RhoZxy      13      0      1      +4.126882e+02      +1.650753e+01
PhsZxy      13      0      1      +5.555698e+01      +2.000000e+00
RhoZxy      14      0      1      +3.887392e+02      +1.554957e+01
PhsZxy      14      0      1      +5.509271e+01      +2.000000e+00
RhoZxy      15      0      1      +3.823626e+02      +1.529450e+01
PhsZxy      15      0      1      +5.505947e+01      +2.000000e+00
RhoZxy      16      0      1      +3.649604e+02      +1.459842e+01
PhsZxy      16      0      1      +5.474318e+01      +2.000000e+00
RhoZxy      17      0      1      +3.540987e+02      +1.416395e+01
PhsZxy      17      0      1      +5.570235e+01      +2.000000e+00
RhoZxy      18      0      1      +3.498403e+02      +1.399361e+01
PhsZxy      18      0      1      +5.636824e+01      +2.000000e+00
RhoZxy      19      0      1      +3.174863e+02      +1.269945e+01
PhsZxy      19      0      1      +5.764851e+01      +2.000000e+00
RhoZxy      20      0      1      +3.012998e+02      +1.205199e+01
PhsZxy      20      0      1      +5.927270e+01      +2.000000e+00
RhoZxy      21      0      1      +2.818509e+02      +1.127404e+01
PhsZxy      21      0      1      +6.119803e+01      +2.000000e+00
RhoZxy      22      0      1      +2.602845e+02      +1.041138e+01
PhsZxy      22      0      1      +6.230675e+01      +2.000000e+00
RhoZxy      23      0      1      +2.464435e+02      +9.857741e+00
PhsZxy      23      0      1      +6.262264e+01      +2.000000e+00
RhoZxy      24      0      1      +2.263179e+02      +9.052718e+00
PhsZxy      24      0      1      +6.445118e+01      +2.000000e+00
RhoZxy      25      0      1      +1.830001e+02      +7.320002e+00
PhsZxy      25      0      1      +6.653614e+01      +2.000000e+00
RhoZxy      26      0      1      +1.549256e+02      +6.197023e+00
PhsZxy      26      0      1      +6.748657e+01      +2.000000e+00
RhoZxy      27      0      1      +1.158159e+02      +4.632636e+00
PhsZxy      27      0      1      +6.943638e+01      +2.000000e+00
RhoZxy      28      0      1      +9.169631e+01      +3.667852e+00
PhsZxy      28      0      1      +6.947754e+01      +2.000000e+00
RhoZxy      29      0      1      +8.108314e+01      +3.990767e+00
PhsZxy      29      0      1      +7.144172e+01      +2.000000e+00
RhoZxy      30      0      1      +5.610554e+01      +3.429263e+00
PhsZxy      30      0      1      +6.938843e+01      +2.000000e+00
